club_1,club_2,dif,pj,pg,pe,pp
San Lorenzo (MdP),Atlanta,+1,3,2,0,1
San Lorenzo (MdP),Colon,-1,3,1,0,2
San Lorenzo (MdP),Central Cba (SdE),-3,3,0,0,3
San Lorenzo (MdP),Central Norte (S),-1,2,0,1,1
San Lorenzo (MdP),Banfield,-2,2,0,0,2
San Lorenzo (MdP),Rosario Central,-2,2,0,0,2
San Lorenzo (MdP),Huracan (C),0,2,1,0,1
San Lorenzo (MdP),Platense,-1,2,0,1,1
San Lorenzo (MdP),Quilmes,-2,2,0,0,2
San Lorenzo (MdP),Loma Negra,0,2,1,0,1
San Lorenzo (MdP),San Martin (SJ),-2,2,0,0,2
San Lorenzo (MdP),Atl. Concepcion (T),+1,2,1,1,0
San Lorenzo (MdP),Dep. Roca,0,2,1,0,1
San Lorenzo (MdP),Desamparados,-2,2,0,0,2
San Lorenzo (MdP),Estudiantes (SdE),+1,2,1,1,0
San Lorenzo (MdP),Union SV (C),0,2,0,2,0
San Lorenzo (MdP),Bartolome Mitre (M),+1,1,1,0,0
San Lorenzo (MdP),Gimnasia (LP),+1,1,1,0,0
San Lorenzo (MdP),Kimberley (MdP),0,1,0,1,0
San Lorenzo (MdP),Juv. Antoniana,-1,1,0,0,1
San Lorenzo (MdP),Independiente (T),+1,1,1,0,0
San Lorenzo (MdP),All Boys,+1,1,1,0,0
San Martin (M),Huracan,+4,9,4,5,0
San Martin (M),San Lorenzo (MdP),+2,8,4,2,2
San Martin (M),Velez,0,8,2,4,2
San Martin (M),Talleres (C),-4,7,0,3,4
San Martin (M),River Plate,-3,7,2,0,5
San Martin (M),San Lorenzo,-2,6,2,0,4
San Martin (M),Independiente,-2,6,1,2,3
San Martin (M),San Martin (T),+2,5,3,1,1
San Martin (M),Union,-4,5,0,1,4
San Martin (M),Atlanta,+1,5,1,4,0
San Martin (M),Platense,0,4,1,2,1
San Martin (M),Boca Juniors,+2,4,2,2,0
San Martin (M),Rosario Central,-2,4,1,0,3
San Martin (M),Quilmes,-1,4,1,1,2
San Martin (M),Racing Club,0,3,1,1,1
San Martin (M),Lanus,0,3,1,1,1
San Martin (M),Ind Rivadavia,+1,3,1,2,0
San Martin (M),Estudiantes (LP),-3,3,0,0,3
San Martin (M),Gimnasia (LP),0,3,1,1,1
San Martin (M),All Boys,+1,3,2,0,1
San Martin (M),Chaco For Ever,+1,3,2,0,1
San Martin (M),Argentinos,-2,3,0,1,2
San Martin (M),Colon,+1,3,2,0,1
San Martin (M),Ferro,-1,2,0,1,1
San Martin (M),Chacarita,-1,2,0,1,1
San Martin (M),Aldosivi,0,2,1,0,1
San Martin (M),Atl Tucuman,0,2,1,0,1
San Martin (M),Alvarado,0,2,1,0,1
San Martin (M),Newells,-1,2,0,1,1
San Martin (M),Sp. Patria (F),+2,2,2,0,0
San Martin (M),Juv. Antoniana,+1,2,1,1,0
San Martin (M),Godoy Cruz,+2,2,2,0,0
San Martin (M),Huracan (CR),0,2,1,0,1
San Martin (M),Gimnasia (M),0,1,0,1,0
San Martin (M),Don Orione (CH),+1,1,1,0,0
San Martin (M),Desamparados,0,1,0,1,0
San Martin (M),Banfield,0,1,0,1,0
San Martin (M),Bartolome Mitre (M),+1,1,1,0,0
San Martin (M),Belgrano,0,1,0,1,0
San Martin (M),Central Cba (SdE),0,1,0,1,0
San Martin (M),Independiente (T),+1,1,1,0,0
San Martin (M),Instituto,-1,1,0,0,1
San Martin (M),Cipolletti,-1,1,0,0,1
San Martin (M),Kimberley (MdP),-1,1,0,0,1
San Martin (SJ),Estudiantes (LP),-1,13,5,2,6
San Martin (SJ),Newells,-5,13,3,2,8
San Martin (SJ),Boca Juniors,-8,13,1,3,9
San Martin (SJ),Banfield,-3,12,3,3,6
San Martin (SJ),Independiente,-1,12,3,5,4
San Martin (SJ),Godoy Cruz,-4,12,2,4,6
San Martin (SJ),Velez,-4,12,4,0,8
San Martin (SJ),Argentinos,+2,12,4,6,2
San Martin (SJ),Racing Club,-6,11,1,3,7
San Martin (SJ),Lanus,-1,11,2,6,3
San Martin (SJ),Tigre,+1,11,4,4,3
San Martin (SJ),Rosario Central,-4,10,1,4,5
San Martin (SJ),San Lorenzo,-2,10,3,2,5
San Martin (SJ),Colon,-2,10,0,8,2
San Martin (SJ),Union,+4,9,4,5,0
San Martin (SJ),Arsenal,-1,9,3,2,4
San Martin (SJ),Gimnasia (LP),0,9,3,3,3
San Martin (SJ),Belgrano,0,8,2,4,2
San Martin (SJ),River Plate,-3,8,2,1,5
San Martin (SJ),Atl Rafaela,-2,7,2,1,4
San Martin (SJ),Huracan,-3,7,2,0,5
San Martin (SJ),Olimpo,+2,7,4,1,2
San Martin (SJ),Def y Justicia,0,5,1,3,1
San Martin (SJ),Aldosivi,-1,4,1,1,2
San Martin (SJ),All Boys,0,4,1,2,1
San Martin (SJ),Quilmes,+1,4,2,1,1
San Martin (SJ),Atl Tucuman,-2,4,1,0,3
San Martin (SJ),Temperley,0,4,2,0,2
San Martin (SJ),Gimnasia (J),+1,4,2,1,1
San Martin (SJ),Patronato,+1,3,2,0,1
San Martin (SJ),Talleres (C),0,3,1,1,1
San Martin (SJ),Chacarita,+1,3,2,0,1
San Martin (SJ),Sarmiento (J),0,2,1,0,1
San Martin (SJ),San Lorenzo (MdP),+2,2,2,0,0
San Martin (SJ),Atlanta,-1,2,0,1,1
San Martin (SJ),Central Cba (SdE),+2,2,2,0,0
San Martin (SJ),Kimberley (MdP),+1,2,1,1,0
San Martin (SJ),Huracan (C),+2,2,2,0,0
San Martin (SJ),Gimnasia (M),0,2,1,0,1
San Martin (SJ),Crucero (M),-1,1,0,0,1
San Martin (SJ),Nueva Chicago,0,1,0,1,0
San Martin (SJ),San Martin (T),-1,1,0,0,1
San Martin (T),River Plate,-15,21,1,4,16
San Martin (T),Velez,-5,20,5,5,10
San Martin (T),San Lorenzo,-8,20,2,8,10
San Martin (T),Racing Club,-5,19,5,4,10
San Martin (T),Estudiantes (LP),-6,18,3,6,9
San Martin (T),Independiente,-8,14,2,2,10
San Martin (T),Rosario Central,-8,12,1,2,9
San Martin (T),Atl Tucuman,-2,12,3,4,5
San Martin (T),Newells,0,12,5,2,5
San Martin (T),Talleres (C),+2,12,5,4,3
San Martin (T),Gimnasia (LP),-5,12,2,3,7
San Martin (T),Boca Juniors,-7,12,2,1,9
San Martin (T),Argentinos,0,10,2,6,2
San Martin (T),Ferro,-2,10,2,4,4
San Martin (T),Platense,+4,9,4,5,0
San Martin (T),Huracan,-3,9,3,0,6
San Martin (T),Lanus,-6,8,0,2,6
San Martin (T),Colon,-2,8,1,4,3
San Martin (T),Chacarita,-2,7,2,1,4
San Martin (T),Banfield,-1,7,1,4,2
San Martin (T),Dep Mandiyu (C),+5,6,5,1,0
San Martin (T),Atlanta,-3,6,1,1,4
San Martin (T),Godoy Cruz,-1,5,1,2,2
San Martin (T),Guarani (M),+1,5,2,2,1
San Martin (T),Gimnasia (M),-4,5,0,1,4
San Martin (T),San Martin (M),-2,5,1,1,3
San Martin (T),Belgrano,-3,5,0,2,3
San Martin (T),Union,+1,4,1,3,0
San Martin (T),Gimnasia (J),-1,4,1,1,2
San Martin (T),Instituto,+3,4,3,1,0
San Martin (T),Dep. Español,-1,4,1,1,2
San Martin (T),Racing (C),-1,4,1,1,2
San Martin (T),Atl Ledesma (J),+1,4,2,1,1
San Martin (T),San Lorenzo (MdP),0,3,1,1,1
San Martin (T),Tigre,+1,3,1,2,0
San Martin (T),Ind Rivadavia,0,3,0,3,0
San Martin (T),Quilmes,-1,3,0,2,1
San Martin (T),Cipolletti,+2,3,2,1,0
San Martin (T),Aldosivi,0,3,1,1,1
San Martin (T),All Boys,0,3,1,1,1
San Martin (T),Chaco For Ever,0,2,1,0,1
San Martin (T),Renato Cesarini (R),+2,2,2,0,0
San Martin (T),Atl Regina (RN),+1,2,1,1,0
San Martin (T),Atl. Concepcion (T),+2,2,2,0,0
San Martin (T),Arsenal,+1,2,1,1,0
San Martin (T),Arg de Firmat,0,2,1,0,1
San Martin (T),Alvarado,+2,2,2,0,0
San Martin (T),Juv. Unida (SL),0,2,0,2,0
San Martin (T),San Telmo,0,2,1,0,1
San Martin (T),Sarmiento (J),0,2,1,0,1
San Martin (T),Huracan (IW),0,2,1,0,1
San Martin (T),Circulo Dep. (O),+1,2,1,1,0
San Martin (T),Estudiantes (RC),+1,2,1,1,0
San Martin (T),Dep. Roca,-1,2,0,1,1
San Martin (T),Juv. Alianza (SJ),+1,2,1,1,0
San Martin (T),Juv. Antoniana,+1,2,1,1,0
San Martin (T),Estudiantes (BA),0,2,0,2,0
San Martin (T),Loma Negra,-2,2,0,0,2
San Martin (T),Dep. Armenio,-1,2,0,1,1
San Martin (T),Los Andes,-1,1,0,0,1
San Martin (T),Desamparados,+1,1,1,0,0
San Martin (T),Bartolome Mitre (M),+1,1,1,0,0
San Martin (T),Central Cba (SdE),-1,1,0,0,1
San Martin (T),Independiente (T),+1,1,1,0,0
San Martin (T),San Martin (SJ),+1,1,1,0,0
San Martin (T),Patronato,0,1,0,1,0
San Martin (T),Def y Justicia,-1,1,0,0,1
San Telmo,Banfield,-2,6,1,2,3
San Telmo,Atlanta,-3,5,0,2,3
San Telmo,Ferro,-1,4,1,1,2
San Telmo,Quilmes,-3,4,0,1,3
San Telmo,Estudiantes (LP),-3,4,0,1,3
San Telmo,Racing Club,-2,3,0,1,2
San Telmo,All Boys,-1,3,1,0,2
San Telmo,Colon,+2,2,2,0,0
San Telmo,San Martin (T),0,2,1,0,1
San Telmo,Rosario Central,-1,2,0,1,1
San Telmo,River Plate,-2,2,0,0,2
San Telmo,Atl Ledesma (J),-2,2,0,0,2
San Telmo,Independiente,-2,2,0,0,2
San Telmo,Huracan,-2,2,0,0,2
San Telmo,Boca Juniors,0,2,1,0,1
San Telmo,Argentinos,0,1,0,1,0
San Telmo,Chacarita,-1,1,0,0,1
San Telmo,Dep. Moron,-1,1,0,0,1
San Telmo,Temperley,0,1,0,1,0
San Telmo,Velez,+1,1,1,0,0
Santamarina,Estudiantes (LP),-1,2,0,1,1
Santamarina,Independiente,-2,2,0,0,2
Santamarina,Platense,0,2,1,0,1
Santamarina,Racing (C),0,2,1,0,1
Santamarina,Central Norte (S),0,1,0,1,0
Sarmiento (J),River Plate,-7,14,2,3,9
Sarmiento (J),Newells,0,11,3,5,3
Sarmiento (J),Estudiantes (LP),-5,11,1,4,6
Sarmiento (J),Independiente,-4,10,0,6,4
Sarmiento (J),Talleres (C),-7,10,0,3,7
Sarmiento (J),Velez,-3,10,1,5,4
Sarmiento (J),Rosario Central,-2,10,2,4,4
Sarmiento (J),Union,0,9,4,1,4
Sarmiento (J),Huracan,-4,9,1,3,5
Sarmiento (J),Racing Club,-4,9,1,3,5
Sarmiento (J),Boca Juniors,-7,9,1,0,8
Sarmiento (J),Argentinos,+2,8,4,2,2
Sarmiento (J),Instituto,-2,8,2,2,4
Sarmiento (J),Colon,+2,8,4,2,2
Sarmiento (J),San Lorenzo,-5,8,1,1,6
Sarmiento (J),Quilmes,+2,7,3,3,1
Sarmiento (J),Platense,-1,7,1,4,2
Sarmiento (J),Banfield,-1,6,0,5,1
Sarmiento (J),Gimnasia (LP),-1,6,1,3,2
Sarmiento (J),Arsenal,+2,6,4,0,2
Sarmiento (J),Godoy Cruz,-2,6,0,4,2
Sarmiento (J),Ferro,-2,6,1,2,3
Sarmiento (J),Tigre,-3,6,1,1,4
Sarmiento (J),Patronato,0,5,2,1,2
Sarmiento (J),Nueva Chicago,-1,5,0,4,1
Sarmiento (J),Def y Justicia,+1,5,3,0,2
Sarmiento (J),Lanus,-2,5,1,1,3
Sarmiento (J),Aldosivi,+1,4,2,1,1
Sarmiento (J),Olimpo,0,4,1,2,1
Sarmiento (J),Belgrano,-1,4,1,1,2
Sarmiento (J),Atl Tucuman,0,4,2,0,2
Sarmiento (J),Ind Rivadavia,-3,3,0,0,3
Sarmiento (J),San Martin (SJ),0,2,1,0,1
Sarmiento (J),Temperley,+1,2,1,1,0
Sarmiento (J),Atl Rafaela,0,2,1,0,1
Sarmiento (J),Guarani (M),0,2,1,0,1
Sarmiento (J),San Martin (T),0,2,1,0,1
Sarmiento (J),Gimnasia (J),+1,2,1,1,0
Sarmiento (J),Loma Negra,-2,2,0,0,2
Sarmiento (J),Mariano Moreno (J),+2,2,2,0,0
Sarmiento (J),Racing (C),-2,2,0,0,2
Sarmiento (J),Crucero (M),+1,1,1,0,0
Sarmiento (R),Colon,+2,2,2,0,0
Sarmiento (R),Gimnasia (J),+1,2,1,1,0
Sarmiento (R),Platense,-1,2,0,1,1
Sarmiento (R),Racing Club,0,2,1,0,1
Sarmiento (R),River Plate,-1,2,0,1,1
Sarmiento (R),Talleres (C),-1,2,0,1,1
Sarmiento (R),Velez,-2,2,0,0,2
Sp. Guzman (T),Banfield,+1,2,1,1,0
Sp. Guzman (T),Colon,-1,2,0,1,1
Sp. Guzman (T),Gimnasia (LP),-2,2,0,0,2
Sp. Guzman (T),Huracan,-2,2,0,0,2
Sp. Guzman (T),Juv. Alianza (SJ),+1,2,1,1,0
Sp. Guzman (T),Olimpo,+1,2,1,1,0
Sp. Guzman (T),Racing (C),+1,2,1,1,0
Sp. Italiano,Argentinos,-1,2,0,1,1
Sp. Italiano,Instituto,-1,2,0,1,1
Sp. Italiano,Independiente,-2,2,0,0,2
Sp. Italiano,River Plate,-2,2,0,0,2
Sp. Italiano,San Lorenzo,0,2,1,0,1
Sp. Italiano,Temperley,+2,2,2,0,0
Sp. Italiano,Union,0,2,1,0,1
Sp. Italiano,Gimnasia (LP),+2,2,2,0,0
Sp. Italiano,Rosario Central,-2,2,0,0,2
Sp. Italiano,Talleres (C),-1,2,0,1,1
Sp. Italiano,Racing Club,-1,2,0,1,1
Sp. Italiano,Platense,-2,2,0,0,2
Sp. Italiano,Velez,-1,2,0,1,1
Sp. Italiano,Ferro,-1,2,0,1,1
Sp. Italiano,Racing (C),-1,2,0,1,1
Sp. Italiano,Estudiantes (LP),0,2,0,2,0
Sp. Italiano,Dep. Español,-2,2,0,0,2
Sp. Italiano,Boca Juniors,-1,2,0,1,1
Sp. Italiano,Newells,-1,2,0,1,1
Talleres (C),Newells,-10,67,17,23,27
Talleres (C),River Plate,-13,60,17,13,30
Talleres (C),Independiente,-15,56,13,15,28
Talleres (C),Boca Juniors,-10,56,13,20,23
Talleres (C),Estudiantes (LP),-3,55,18,16,21
Talleres (C),San Lorenzo,-17,54,10,17,27
Talleres (C),Racing Club,-4,52,17,14,21
Talleres (C),Argentinos,0,52,20,12,20
Talleres (C),Velez,-2,51,17,15,19
Talleres (C),Rosario Central,+3,51,19,16,16
Talleres (C),Huracan,+4,46,17,16,13
Talleres (C),Union,+4,45,16,17,12
Talleres (C),Ferro,-2,45,11,21,13
Talleres (C),Gimnasia (LP),0,41,14,13,14
Talleres (C),Platense,-2,38,12,12,14
Talleres (C),Instituto,+2,32,13,8,11
Talleres (C),Colon,+4,31,15,5,11
Talleres (C),Lanus,+3,26,11,7,8
Talleres (C),Belgrano,0,23,5,13,5
Talleres (C),Dep. Español,+4,20,10,4,6
Talleres (C),Racing (C),0,20,6,8,6
Talleres (C),Chacarita,+2,18,6,8,4
Talleres (C),Banfield,-3,17,5,4,8
Talleres (C),Temperley,-2,15,3,7,5
Talleres (C),San Martin (T),-2,12,3,4,5
Talleres (C),Quilmes,+2,12,5,4,3
Talleres (C),Dep Mandiyu (C),+2,12,5,4,3
Talleres (C),Arsenal,+4,10,5,4,1
Talleres (C),Sarmiento (J),+7,10,7,3,0
Talleres (C),Nueva Chicago,-3,10,3,1,6
Talleres (C),Gimnasia (J),+2,9,4,3,2
Talleres (C),Atl Tucuman,+5,9,6,2,1
Talleres (C),Tigre,0,7,2,3,2
Talleres (C),Def y Justicia,0,7,3,1,3
Talleres (C),Godoy Cruz,+4,7,5,1,1
Talleres (C),San Martin (M),+4,7,4,3,0
Talleres (C),Patronato,0,6,2,2,2
Talleres (C),Olimpo,+2,6,3,2,1
Talleres (C),Aldosivi,+2,5,3,1,1
Talleres (C),San Lorenzo (MdP),+3,5,4,0,1
Talleres (C),All Boys,+2,4,2,2,0
Talleres (C),Chaco For Ever,+1,4,2,1,1
Talleres (C),Central Norte (S),+3,4,3,1,0
Talleres (C),Guarani (M),+1,4,2,1,1
Talleres (C),Altos Hornos Zapla,0,4,1,2,1
Talleres (C),Atlanta,+3,4,3,1,0
Talleres (C),Dep. Armenio,0,4,2,0,2
Talleres (C),Central Cba (SdE),-1,4,1,1,2
Talleres (C),Juv. Antoniana,+3,4,3,1,0
Talleres (C),Gimnasia (M),-2,4,0,2,2
Talleres (C),Kimberley (MdP),+1,4,2,1,1
Talleres (C),San Martin (SJ),0,3,1,1,1
Talleres (C),Atl Rafaela,+1,3,2,0,1
Talleres (C),Gimnasia (S),+2,2,2,0,0
Talleres (C),Huracan (SR),+2,2,2,0,0
Talleres (C),Jorge Newbery (J),+2,2,2,0,0
Talleres (C),Almagro,+1,2,1,1,0
Talleres (C),Huracan (CR),+1,2,1,1,0
Talleres (C),Atl Ledesma (J),+2,2,2,0,0
Talleres (C),Estudiantes (RC),+2,2,2,0,0
Talleres (C),Mariano Moreno (J),+2,2,2,0,0
Talleres (C),Bartolome Mitre (M),+2,2,2,0,0
Talleres (C),Los Andes,0,2,1,0,1
Talleres (C),Loma Negra,-1,2,0,1,1
Talleres (C),Ferro (GP),+2,2,2,0,0
Talleres (C),Sarmiento (R),+1,2,1,1,0
Talleres (C),Sp. Italiano,+1,2,1,1,0
Talleres (C),Desamparados,+1,1,1,0,0
Talleres (RdE),Racing Club,-11,19,2,4,13
Talleres (RdE),Tigre,+2,19,8,5,6
Talleres (RdE),River Plate,-13,19,2,2,15
Talleres (RdE),Lanus,0,19,8,3,8
Talleres (RdE),Gimnasia (LP),-9,19,3,4,12
Talleres (RdE),San Lorenzo,-7,18,4,3,11
Talleres (RdE),Platense,-9,18,4,1,13
Talleres (RdE),Velez,-11,18,2,3,13
Talleres (RdE),Huracan,-7,18,2,7,9
Talleres (RdE),Ferro,-2,18,7,2,9
Talleres (RdE),Estudiantes (LP),-3,18,6,3,9
Talleres (RdE),Atlanta,+2,18,9,2,7
Talleres (RdE),Chacarita,+3,17,7,6,4
Talleres (RdE),Boca Juniors,-11,17,1,4,12
Talleres (RdE),Independiente,-12,17,2,1,14
Talleres (RdE),Quilmes,-3,15,3,6,6
Talleres (RdE),Argentinos,0,15,5,5,5
Talleres (RdE),Estudiantes (BA),+2,6,4,0,2
Talleres (RdE),Almagro,-1,6,2,1,3
Talleres (RdE),Banfield,0,5,1,3,1
Talleres (RdE),Barracas Central,+1,4,2,1,1
Talleres (RdE),Def. de Belgrano,+1,4,2,1,1
Talleres (RdE),Excursionistas,+1,4,2,1,1
Talleres (RdE),Argentino (Q),+2,3,2,1,0
Talleres (RdE),El Porvenir,+2,3,2,1,0
Talleres (RdE),Sp. Barracas,-1,3,0,2,1
Talleres (RdE),Colegiales,+1,2,1,1,0
Temperley,Argentinos,0,22,8,6,8
Temperley,Boca Juniors,-7,22,4,7,11
Temperley,Newells,+4,21,8,9,4
Temperley,Estudiantes (LP),-10,20,4,2,14
Temperley,San Lorenzo,-9,20,4,3,13
Temperley,Velez,-1,20,6,7,7
Temperley,Independiente,-8,19,2,7,10
Temperley,Huracan,-9,18,3,3,12
Temperley,Union,-9,18,2,5,11
Temperley,River Plate,-8,18,3,4,11
Temperley,Racing Club,-2,17,7,1,9
Temperley,Rosario Central,-4,16,3,6,7
Temperley,Gimnasia (LP),-4,15,2,7,6
Temperley,Ferro,-3,15,3,6,6
Temperley,Talleres (C),+2,15,5,7,3
Temperley,Chacarita,+1,15,7,2,6
Temperley,Banfield,-2,14,4,4,6
Temperley,Platense,0,13,4,5,4
Temperley,Quilmes,-3,11,1,6,4
Temperley,Atlanta,+2,9,5,1,3
Temperley,Colon,-1,9,3,2,4
Temperley,Nueva Chicago,-2,9,2,3,4
Temperley,All Boys,0,9,3,3,3
Temperley,Racing (C),-1,8,2,3,3
Temperley,Instituto,+2,8,4,2,2
Temperley,Lanus,-4,6,0,2,4
Temperley,Atl Tucuman,-1,6,1,3,2
Temperley,Estudiantes (RC),+3,5,4,0,1
Temperley,San Martin (SJ),0,4,2,0,2
Temperley,Dep. Español,-2,4,0,2,2
Temperley,Tigre,+3,4,3,1,0
Temperley,Def y Justicia,-2,4,1,0,3
Temperley,El Porvenir,+1,4,2,1,1
Temperley,Arsenal,-1,4,1,1,2
Temperley,Argentino (Q),-1,3,1,0,2
Temperley,Aldosivi,+1,3,1,2,0
Temperley,Dock Sud,0,3,1,1,1
Temperley,Olimpo,0,3,0,3,0
Temperley,Belgrano,+2,3,2,1,0
Temperley,Sp. Barracas,0,3,1,1,1
Temperley,Atl Rafaela,0,3,1,1,1
Temperley,Godoy Cruz,-1,3,1,0,2
Temperley,Gimnasia (J),-3,3,0,0,3
Temperley,Altos Hornos Zapla,0,2,1,0,1
Temperley,Sp. Italiano,-2,2,0,0,2
Temperley,Bartolome Mitre (M),+2,2,2,0,0
Temperley,Patronato,0,2,1,0,1
Temperley,Juv. Alianza (SJ),0,2,1,0,1
Temperley,Gimnasia (M),0,2,0,2,0
Temperley,Juv. Antoniana,0,2,0,2,0
Temperley,Sarmiento (J),-1,2,0,1,1
Temperley,Union (CH),0,2,0,2,0
Temperley,Colegiales,+1,1,1,0,0
Temperley,San Telmo,0,1,0,1,0
Temperley,Crucero (M),-1,1,0,0,1
Tigre,Racing Club,-23,86,22,19,45
Tigre,Independiente,-45,86,10,21,55
Tigre,San Lorenzo,-28,84,20,16,48
Tigre,River Plate,-43,84,12,17,55
Tigre,Velez,-19,79,22,16,41
Tigre,Estudiantes (LP),-20,78,22,14,42
Tigre,Gimnasia (LP),-10,78,26,16,36
Tigre,Lanus,-13,75,21,20,34
Tigre,Boca Juniors,-38,74,12,12,50
Tigre,Huracan,-23,71,17,14,40
Tigre,Platense,-9,60,16,19,25
Tigre,Atlanta,-3,59,22,12,25
Tigre,Ferro,+7,57,26,12,19
Tigre,Newells,-17,54,11,15,28
Tigre,Banfield,+2,48,20,10,18
Tigre,Argentinos,-11,47,11,14,22
Tigre,Rosario Central,+3,46,20,9,17
Tigre,Chacarita,-11,46,12,11,23
Tigre,Quilmes,-2,44,17,8,19
Tigre,Colon,-1,25,9,6,10
Tigre,Def. de Belgrano,-3,20,5,7,8
Tigre,Arsenal,-7,20,5,3,12
Tigre,Talleres (RdE),-2,19,6,5,8
Tigre,Godoy Cruz,+3,19,9,4,6
Tigre,Estudiantes (BA),+9,19,12,4,3
Tigre,Union,+1,17,6,6,5
Tigre,Barracas Central,-3,15,4,4,7
Tigre,Olimpo,+6,12,7,4,1
Tigre,Argentino (Q),-1,12,5,1,6
Tigre,Belgrano,+1,12,5,3,4
Tigre,San Martin (SJ),-1,11,3,4,4
Tigre,All Boys,+1,10,3,5,2
Tigre,Almagro,+3,10,4,5,1
Tigre,Atl Rafaela,+3,10,5,3,2
Tigre,Def y Justicia,-3,8,1,3,4
Tigre,Atl Tucuman,0,8,2,4,2
Tigre,Talleres (C),0,7,2,3,2
Tigre,Sarmiento (J),+3,6,4,1,1
Tigre,Sp. Barracas,-4,6,1,0,5
Tigre,Excursionistas,+4,5,4,1,0
Tigre,Aldosivi,+4,5,4,1,0
Tigre,Nueva Chicago,+4,5,4,1,0
Tigre,Temperley,-3,4,0,1,3
Tigre,Patronato,0,4,2,0,2
Tigre,Los Andes,-1,4,1,1,2
Tigre,Gimnasia (J),+3,4,3,1,0
Tigre,San Martin (T),-1,3,0,2,1
Tigre,El Porvenir,+2,3,2,1,0
Tigre,Colegiales,-1,2,0,1,1
Tigre,Dep. Moron,-1,2,0,1,1
Tigre,Dep. Español,0,2,0,2,0
Tigre,Central Cba (R),-2,2,0,0,2
Tigre,Crucero (M),0,1,0,1,0
Tiro Federal (R),Argentinos,-2,2,0,0,2
Tiro Federal (R),San Lorenzo,-2,2,0,0,2
Tiro Federal (R),Rosario Central,0,2,1,0,1
Tiro Federal (R),River Plate,-2,2,0,0,2
Tiro Federal (R),Racing Club,-2,2,0,0,2
Tiro Federal (R),Quilmes,+1,2,1,1,0
Tiro Federal (R),Olimpo,-1,2,0,1,1
Tiro Federal (R),Newells,0,2,1,0,1
Tiro Federal (R),Lanus,0,2,1,0,1
Tiro Federal (R),Instituto,+2,2,2,0,0
Tiro Federal (R),Independiente,-2,2,0,0,2
Tiro Federal (R),Gimnasia (LP),-1,2,0,1,1
Tiro Federal (R),Gimnasia (J),-1,2,0,1,1
Tiro Federal (R),Estudiantes (LP),0,2,1,0,1
Tiro Federal (R),Colon,-2,2,0,0,2
Tiro Federal (R),Boca Juniors,-1,2,0,1,1
Tiro Federal (R),Banfield,-2,2,0,0,2
Tiro Federal (R),Arsenal,-2,2,0,0,2
Tiro Federal (R),Velez,-1,2,0,1,1
Union,River Plate,-16,70,15,24,31
Union,Independiente,-16,69,12,29,28
Union,Argentinos,+6,69,28,19,22
Union,Velez,-14,66,15,22,29
Union,Newells,-9,65,18,20,27
Union,Estudiantes (LP),-21,64,11,21,32
Union,Boca Juniors,-20,64,14,16,34
Union,San Lorenzo,-5,63,21,16,26
Union,Huracan,-7,62,19,17,26
Union,Racing Club,-5,61,16,24,21
Union,Colon,+4,58,17,28,13
Union,Rosario Central,+7,58,22,21,15
Union,Platense,0,52,18,16,18
Union,Gimnasia (LP),+1,52,19,15,18
Union,Talleres (C),-4,45,12,17,16
Union,Ferro,-7,44,12,13,19
Union,Lanus,-5,35,7,16,12
Union,Chacarita,-1,31,8,14,9
Union,Banfield,+7,30,15,7,8
Union,Quilmes,+1,29,9,12,8
Union,Belgrano,-8,23,3,9,11
Union,Instituto,-3,22,5,9,8
Union,Dep. Español,-3,20,5,7,8
Union,Racing (C),-2,19,5,7,7
Union,Temperley,+9,18,11,5,2
Union,Tigre,-1,17,5,6,6
Union,All Boys,+2,16,6,6,4
Union,Atlanta,-3,15,5,2,8
Union,Atl Tucuman,+1,14,5,5,4
Union,Arsenal,-4,13,3,3,7
Union,Gimnasia (J),+1,12,5,3,4
Union,Godoy Cruz,+1,12,5,3,4
Union,Nueva Chicago,-1,11,3,4,4
Union,Aldosivi,+4,10,5,4,1
Union,Def y Justicia,0,9,3,3,3
Union,San Martin (SJ),-4,9,0,5,4
Union,Sarmiento (J),0,9,4,1,4
Union,Los Andes,+1,9,4,2,3
Union,Patronato,+1,8,3,3,2
Union,Olimpo,+4,7,5,1,1
Union,San Lorenzo (MdP),+4,7,5,1,1
Union,Atl Rafaela,-1,7,2,2,3
Union,Dep Mandiyu (C),0,6,2,2,2
Union,Almagro,+2,6,2,4,0
Union,Atl Ledesma (J),+4,6,4,2,0
Union,San Martin (M),+4,5,4,1,0
Union,San Martin (T),-1,4,0,3,1
Union,Chaco For Ever,-2,4,0,2,2
Union,Central Cba (SdE),-1,4,1,1,2
Union,Union SV (C),+3,4,3,1,0
Union,Dep. Moron,+1,4,1,3,0
Union,Cipolletti,0,2,0,2,0
Union,Jorge Newbery (J),+2,2,2,0,0
Union,Atl. Concepcion (T),+1,2,1,1,0
Union,Juv. Unida (SL),+2,2,2,0,0
Union,Def. de Belgrano,+1,2,1,1,0
Union,Dep. Armenio,0,2,1,0,1
Union,Huracan (C),+1,2,1,1,0
Union,Estudiantes (BA),+2,2,2,0,0
Union,Guarani (M),0,2,1,0,1
Union,Gimnasia (S),0,2,1,0,1
Union,Gimnasia (M),+1,2,1,1,0
Union,Gimnasia (CdU),0,2,1,0,1
Union,Estudiantes (SdE),+1,2,1,1,0
Union,Renato Cesarini (R),+1,2,1,1,0
Union,Sp. Italiano,0,2,1,0,1
